"lon" "lat" "currentDist"
"657" 7 93 89
"658" 7 94 127
"659" 8 1 124
"660" 8 2 145
"661" 8 3 153
"662" 8 4 99
"663" 8 5 165
"664" 8 6 137
"665" 8 7 110
"666" 8 8 125
"667" 8 9 128
"668" 8 10 133
"669" 8 11 125
"670" 8 12 122
"671" 8 13 115
"672" 8 14 106
"673" 8 15 132
"674" 8 16 113
"675" 8 17 143
"676" 8 18 114
"677" 8 19 113
"678" 8 20 139
"679" 8 21 112
"680" 8 22 117
"681" 8 23 134
"682" 8 24 163
"683" 8 25 90
"684" 8 26 118
"685" 8 27 140
"686" 8 28 140
"687" 8 29 119
"688" 8 30 158
"689" 8 31 124
"690" 8 32 110
"691" 8 33 130
"692" 8 34 130
"693" 8 35 118
"694" 8 36 129
"695" 8 37 146
"696" 8 38 123
"697" 8 39 165
"698" 8 40 160
"699" 8 41 87
"700" 8 42 119
"701" 8 43 115
"702" 8 44 119
"703" 8 45 110
"704" 8 46 130
"705" 8 47 128
"706" 8 48 109
"707" 8 49 102
"708" 8 50 98
"709" 8 51 96
"710" 8 52 141
"711" 8 53 104
"712" 8 54 120
"713" 8 55 86
"714" 8 56 104
"715" 8 57 62
"716" 8 58 99
"717" 8 59 84
"718" 8 60 107
"719" 8 61 116
"720" 8 62 137
"721" 8 63 93
"722" 8 64 124
"723" 8 65 150
"724" 8 66 136
"725" 8 67 122
"726" 8 68 104
"727" 8 69 118
"728" 8 70 91
"729" 8 71 103
"730" 8 72 111
"731" 8 73 104
"732" 8 74 74
"733" 8 75 93
"734" 8 76 96
"735" 8 77 122
"736" 8 78 137
"737" 8 79 127
"738" 8 80 114
"739" 8 81 116
"740" 8 82 119
"741" 8 83 143
"742" 8 84 102
"743" 8 85 90
"744" 8 86 94
"745" 8 87 131
"746" 8 88 92
"747" 8 89 79
"748" 8 90 112
"749" 8 91 102
"750" 8 92 92
"751" 8 93 85
"752" 8 94 125
"753" 9 1 116
"754" 9 2 149
"755" 9 3 153
"756" 9 4 108
"757" 9 5 152
"758" 9 6 108
"759" 9 7 116
"760" 9 8 155
"761" 9 9 134
"762" 9 10 125
"763" 9 11 110
"764" 9 12 132
"765" 9 13 102
"766" 9 14 114
"767" 9 15 122
"768" 9 16 101
"769" 9 17 135
"770" 9 18 114
"771" 9 19 118
"772" 9 20 113
"773" 9 21 98
"774" 9 22 137
"775" 9 23 122
"776" 9 24 106
"777" 9 25 129
"778" 9 26 117
"779" 9 27 151
"780" 9 28 135
"781" 9 29 106
"782" 9 30 127
"783" 9 31 136
"784" 9 32 116
"785" 9 33 120
"786" 9 34 127
"787" 9 35 154
"788" 9 36 155
"789" 9 37 117
"790" 9 38 123
"791" 9 39 143
"792" 9 40 148
"793" 9 41 129
"794" 9 42 136
"795" 9 43 130
"796" 9 44 127
"797" 9 45 105
"798" 9 46 92
"799" 9 47 84
"800" 9 48 94
"801" 9 49 87
"802" 9 50 109
"803" 9 51 106
"804" 9 52 93
"805" 9 53 107
"806" 9 54 94
"807" 9 55 75
"808" 9 56 92
"809" 9 57 112
"810" 9 58 104
